PARK,PARK NUMBER,FACILITY NAME,FACILITY TYPE,X COORDINATE,Y COORDINATE,LOCATION
PARK NO. 484,484,BASEBALL JR/SOFTBALL,OUTDOOR,1146164.3324899999,1859317.6094800001,"(41.769945999999997, -87.739784)"
PARK NO. 484,484,BASEBALL JR/SOFTBALL,OUTDOOR,1146171.21863,1859083.4787099999,"(41.769303000000001, -87.739765000000006)"
PARK NO. 484,484,BASEBALL JR/SOFTBALL,OUTDOOR,1146436.3375200001,1859547.1497,"(41.770569999999999, -87.738781000000003)"
PARK NO. 484,484,BASEBALL JR/SOFTBALL,OUTDOOR,1146611.9356,1859544.8541000001,"(41.770561000000001, -87.738138000000006)"
HUMBOLDT (BARON VON),219,PLAYGROUND,OUTDOOR,1157365.59191,1908752.1552899999,"(41.905380000000001, -87.697383000000002)"
COLISEUM,507,PLAYGROUND,OUTDOOR,1176853.82525,1893117.6235700001,"(41.862059000000002, -87.626270000000005)"
"WILLIAMS-DAVIS (HATTIE KAY,IZORA)",532,PLAYGROUND,OUTDOOR,1184215.49819,1877943.16179,"(41.820250000000001, -87.599722999999997)"
WELLES (GIDEON),110,PLAYGROUND,OUTDOOR,1159892.3135599999,1929700.9188399999,"(41.962812999999997, -87.687522000000001)"
PARK NO. 540,540,PLAYGROUND,OUTDOOR,1176277.90973,1888345.0045100001,"(41.848976, -87.628528000000003)"
JACKSON (ANDREW),19,PLAYGROUND,OUTDOOR,1191721.3463600001,1863852.1978500001,"(41.781404999999999, -87.572646000000006)"
MORAN (TERRENCE),1051,PLAYGROUND,OUTDOOR,1169442.2875699999,1866793.6102700001,"(41.789988000000001, -87.654240000000001)"
MORAN (TERRENCE),1051,SPRAY FEATURE,OUTDOOR,1169409.9667700001,1866923.66218,"(41.790346, -87.654354999999995)"
MORGAN (THOMAS LEEDS) FIELD,1132,BASKETBALL COURT,OUTDOOR,1171667.3260999999,1827387.4335099999,"(41.681804, -87.647233999999997)"
MORGAN (THOMAS LEEDS) FIELD,1132,BASKETBALL COURT,OUTDOOR,1171628.20676,1827388.0545699999,"(41.681806000000002, -87.647377000000006)"
MORGAN (THOMAS LEEDS) FIELD,1132,PLAYGROUND,OUTDOOR,1171527.6134599999,1827300.5012699999,"(41.681567999999999, -87.647748000000007)"
MORGAN (THOMAS LEEDS) FIELD,1132,BASKETBALL COURT,OUTDOOR,1171635.6578599999,1827287.46159,"(41.681530000000002, -87.647352999999995)"
MOUNT GREENWOOD,251,FOOTBALL/SOCCER COMBO FLD,OUTDOOR,1153476.4681299999,1830116.67411,"(41.689670999999997, -87.713751000000002)"
MOUNT GREENWOOD,251,GYMNASIUM,INDOOR,1152905.7100800001,1830479.88369,"(41.690679000000003, -87.715830999999994)"
